parameter,value,unit,description
x_min,-8.000000e+01,a0,空间区间左端
x_max,8.000000e+01,a0,空间区间右端
Nx,1.601000e+03,-,空间网格点数
dx,1.000000e-01,a0,空间步长
dt,5.000000e-03,hbar/Eh,时间步长
Nt,3.000000e+03,-,演化步数
total_time,1.500000e+01,hbar/Eh,总演化时间
psi_x0,-2.000000e+01,a0,初始波包中心
psi_k0,5.000000e+00,1/a0,初始波数
psi_sigma,2.000000e+00,a0,波包宽度参数
E_incident,1.150932e+01,Eh,入射动能
barrier_height,1.500000e+01,Eh,势垒高度
barrier_width,1.500000e+00,a0,势垒宽度
E_over_V0,7.672878e-01,-,E/V0比值
transmission_T,6.196261e-03,-,透射系数
reflection_R,9.938037e-01,-,反射系数
T_plus_R,1.000000e+00,-,T+R(应=1)
