momentum_p,rho_p_initial,rho_p_final
-3.139630e+01,1.879019e-31,2.242522e-17
-3.131781e+01,1.901365e-31,2.242817e-17
-3.123932e+01,1.486846e-31,2.235777e-17
-3.116083e+01,1.723968e-31,2.221464e-17
-3.108234e+01,1.594991e-31,2.200004e-17
-3.100385e+01,1.236738e-31,2.171580e-17
-3.092536e+01,8.623151e-32,2.136439e-17
-3.084687e+01,8.374315e-32,2.094877e-17
-3.076838e+01,5.600711e-32,2.047244e-17
-3.068989e+01,3.827133e-32,1.993941e-17
-3.061140e+01,4.325319e-32,1.935407e-17
-3.053291e+01,9.937083e-32,1.872121e-17
-3.045441e+01,8.647459e-32,1.804588e-17
-3.037592e+01,6.534839e-32,1.733333e-17
-3.029743e+01,1.814882e-32,1.658910e-17
-3.021894e+01,2.088544e-32,1.581899e-17
-3.014045e+01,3.422402e-32,1.502895e-17
-3.006196e+01,4.953384e-32,1.422478e-17
-2.998347e+01,1.811939e-32,1.341199e-17
-2.990498e+01,3.390861e-32,1.259598e-17
-2.982649e+01,3.672684e-32,1.178257e-17
-2.974800e+01,2.790079e-32,1.097742e-17
-2.966951e+01,2.040206e-32,1.018515e-17
-2.959102e+01,5.363203e-33,9.409884e-18
-2.951253e+01,2.467864e-32,8.656551e-18
-2.943403e+01,3.660722e-32,7.929550e-18
-2.935554e+01,1.765593e-32,7.231408e-18
-2.927705e+01,1.676304e-32,6.565136e-18
-2.919856e+01,2.001952e-32,5.934452e-18
-2.912007e+01,8.607424e-33,5.340389e-18
-2.904158e+01,1.617482e-32,4.784279e-18
-2.896309e+01,1.068472e-32,4.268549e-18
-2.888460e+01,1.571596e-32,3.792384e-18
-2.880611e+01,1.106714e-33,3.356392e-18
-2.872762e+01,4.184054e-33,2.960878e-18
-2.864913e+01,3.250696e-33,2.603676e-18
-2.857064e+01,3.019472e-33,2.285167e-18
-2.849215e+01,8.560556e-33,2.002608e-18
-2.841365e+01,2.773252e-33,1.754861e-18
-2.833516e+01,1.985204e-33,1.539638e-18
-2.825667e+01,2.902112e-33,1.354412e-18
-2.817818e+01,7.534539e-33,1.197135e-18
-2.809969e+01,2.329172e-33,1.064661e-18
-2.802120e+01,1.311694e-32,9.548886e-19
-2.794271e+01,2.036025e-32,8.646797e-19
-2.786422e+01,1.228113e-32,7.918022e-19
-2.778573e+01,1.016558e-32,7.335900e-19
-2.770724e+01,8.386517e-33,6.877102e-19
-2.762875e+01,2.602106e-33,6.523170e-19
-2.755026e+01,1.453469e-33,6.251445e-19
-2.747177e+01,5.480881e-34,6.052367e-19
-2.739328e+01,1.257026e-33,5.909025e-19
