time,centroid_x,std_x
0.000000e+00,-2.000000e+01,2.000000e+00
7.500000e-02,-1.964089e+01,2.000067e+00
1.500000e-01,-1.928177e+01,2.000268e+00
2.250000e-01,-1.892266e+01,2.000603e+00
3.000000e-01,-1.856355e+01,2.001071e+00
3.750000e-01,-1.820444e+01,2.001674e+00
4.500000e-01,-1.784532e+01,2.002410e+00
5.250000e-01,-1.748621e+01,2.003279e+00
6.000000e-01,-1.712710e+01,2.004282e+00
6.750000e-01,-1.676799e+01,2.005418e+00
7.500000e-01,-1.640887e+01,2.006687e+00
8.250000e-01,-1.604976e+01,2.008088e+00
9.000000e-01,-1.569065e+01,2.009622e+00
9.750000e-01,-1.533153e+01,2.011288e+00
1.050000e+00,-1.497242e+01,2.013085e+00
1.125000e+00,-1.461331e+01,2.015014e+00
1.200000e+00,-1.425420e+01,2.017074e+00
1.275000e+00,-1.389508e+01,2.019264e+00
1.350000e+00,-1.353597e+01,2.021585e+00
1.425000e+00,-1.317686e+01,2.024035e+00
1.500000e+00,-1.281775e+01,2.026615e+00
1.575000e+00,-1.245863e+01,2.029323e+00
1.650000e+00,-1.209952e+01,2.032159e+00
1.725000e+00,-1.174041e+01,2.035124e+00
1.800000e+00,-1.138130e+01,2.038215e+00
1.875000e+00,-1.102218e+01,2.041433e+00
1.950000e+00,-1.066307e+01,2.044776e+00
2.025000e+00,-1.030396e+01,2.048243e+00
2.100000e+00,-9.944846e+00,2.051833e+00
2.175000e+00,-9.585735e+00,2.055542e+00
2.250000e+00,-9.226627e+00,2.059363e+00
2.325000e+00,-8.867526e+00,2.063285e+00
2.400000e+00,-8.508436e+00,2.067283e+00
2.475000e+00,-8.149372e+00,2.071316e+00
2.550000e+00,-7.790357e+00,2.075311e+00
2.625000e+00,-7.431437e+00,2.079141e+00
2.700000e+00,-7.072689e+00,2.082603e+00
2.775000e+00,-6.714248e+00,2.085382e+00
2.850000e+00,-6.356332e+00,2.087005e+00
2.925000e+00,-5.999290e+00,2.086802e+00
3.000000e+00,-5.643655e+00,2.083866e+00
3.075000e+00,-5.290211e+00,2.077031e+00
